locale,lep species,lep species
huertos,eois sp 3,6
huertos,eois sp 4,1
huertos,eois sp 5,1
huertos,eois zenobia,3
huertos,epimecis patronaria,2
huertos,epimecis sp,11
huertos,episcepis inornata,12
huertos,erinnyis alope,2
huertos,erinnyis ello,24
huertos,eucereon aeolum,16
huertos,euclea mesoamericana,1
huertos,euclea plugma,1
huertos,euclystis guerini,10
huertos,euclystis plusiodes,4
huertos,eueides lybia olympia,4
huertos,eumaeus godartii,2
huertos,eumaeus minyas,1
huertos,eumorpha anchemola,3
huertos,eumorpha labruscae,8
huertos,eumorpha vitis,1
huertos,euptychia jesia,29
huertos,eurema albula,14
huertos,eurytides brunchus,1
huertos,euselasia sp,1
huertos,gamelia septentrionalis,58
huertos,gonodonta fuvangula,1
huertos,gonodonta ilusionista,1
huertos,gonodonta latimacula,7
huertos,gonodonta nr fuvangula,1
huertos,gonodonta nr sinaldus,1
huertos,gonodonta sicheas,2
huertos,gonodonta sp,35
huertos,gonodonta sp 1,1
huertos,gonodonta sp 5,1
huertos,gonodonta sp 6,1
huertos,gonodonta sp 9,1
huertos,halysidota pectenalla,1
huertos,hamadryas arinome ariensis,1
huertos,heliconius cydno galanthus,1
huertos,heliconius hecale zuleika,1
huertos,heliconius sp,1
huertos,hemiceras monegouda,5
huertos,herpetogramma sp1,2
huertos,hyaleucerea sp 1,1
huertos,hyalurga sora,3
huertos,hylesia rubifrons,5
huertos,hylesia sp,78
huertos,hymenomima memor,3
huertos,hypena sp,1
huertos,hypercompe leata,6
huertos,hypercompe muzina,3
huertos,hypercompe sp,1
huertos,hypothyris euclea valora,5
huertos,idaea sp,6
huertos,isanthrene championi,22
huertos,iscadia furcifera,9
huertos,iscadia sp,8
huertos,ischnopteris bryifera commixta,2
huertos,isophrictus sp,7
huertos,lirimiris meridionalis,3
huertos,lirimiris nr guatemalensis,4
huertos,lirimiris nr truncata,20
huertos,lirimiris sp,5
huertos,loxophobia nr imitata,1
huertos,lycorea cleobaea atergatis,1
huertos,macroneme iole,1
huertos,macroneme sp,1
huertos,manduca florestan,3
huertos,manduca occulta,2
huertos,manduca sp,8
huertos,marpesia berania,3
huertos,mechanitis polymnia isthmia,62
huertos,megalopyge albicollis,9
huertos,megalopyge sp,2
huertos,megathecla cupentus,12
huertos,melese nr incertus,1
huertos,melese sixola,1
huertos,melese sp,1
huertos,melisidora nr cyclozonata,1
huertos,merotoma sp,46
huertos,mesoesmia lamachus,1
huertos,mesosemia asa,1
huertos,milanion sp,15
huertos,myscelus amystis,3
huertos,nascus sp,1
huertos,nematocampa completa,1
huertos,neoxeniades molien,3
huertos,nisoniades godma,8
huertos,nyceryx magna,5
huertos,nystalea sp,6
huertos,olceclostera nr bifenestrada,14
huertos,olceclostera sp,6
huertos,omiodes sp,2
huertos,opsiphanes sp,2
huertos,opsiphanes tamarindi,85
huertos,oraesia nr aenofusa,1
huertos,oxydia apidania,1
huertos,oxydia sp,1
huertos,pachydota sp,8
huertos,pachylia ficus,1
huertos,pachylia syces,3
huertos,pantographa expansalis,6
huertos,pantographa suffusalis,43
huertos,papilio anchisiades ideaus,34
huertos,papilio cresphontes,5
huertos,papilio sp,3
huertos,papilio thoas neacles,34
huertos,paragonia nr cruraria,1
huertos,paragonia tasima,2
huertos,parides arcas mylotes,1
huertos,parides erithalion sadyattes,1
huertos,parides milotes,1
huertos,pellicia arina,6
huertos,perichares philetes,1
huertos,pericopis sp,40
huertos,periphoba arcaei,2
huertos,periphoba sp,11
huertos,pero dularia,1
huertos,pero sp,2
huertos,phaeoblemma dares,12
huertos,phanus sp,1
huertos,phobetron hipparchia,4
huertos,phoebis argante,7
huertos,phoebis philea philea,1
huertos,pierella luna luna,3
huertos,pleuroptya silicalis,4
huertos,pompilioides aliena,1
huertos,protepicorsia sp,1
huertos,pyralidae suffusalis,1
huertos,pyrrhogyra crameri,5
huertos,pyrrhogyra otolais otolais,9
huertos,pyrrhogyra sp,1
huertos,quadrus cerialis,91
huertos,quentalia chromana,1
huertos,quentalia sp,2
huertos,quentalia sp 1,296
huertos,quentalia sp 2,1
huertos,quentalia sp 3,1
huertos,radara nr nealcesalis,24
huertos,rothschildia triloba,6
huertos,saliana sp,2
huertos,saliana sp 1,3
huertos,saliana sp 3,1
huertos,saurita nigripalpa,1
huertos,siproeta sp,1
huertos,spodoptera dolichos,26
huertos,spodoptera eridania,1
huertos,spodoptera sp,8
huertos,staphylus sp 1,3
huertos,staphylus sp 2,2
huertos,talides nr alternata,1
huertos,talides sp,2
huertos,talides sp complex,2
huertos,talides sp complex 2,2
huertos,tarchon felderi,31
huertos,telemiades nr antiope,17
huertos,telles arcalaus,4
huertos,temenis laothoe agatha,3
huertos,temenis sp,2
huertos,thracides phidon,2
huertos,thyrinteinia arnobia,2
huertos,thysanopyga nicetaria,1
huertos,tigridia acesta,7
huertos,tithraustes salvini,1
huertos,turesis complanula,1
huertos,turesis sp,1
huertos,urbanus sp,1
huertos,xylophanes anubus,7
huertos,xylophanes ceratomiodes,1
huertos,xylophanes chiron,3
huertos,xylophanes pluto,35
huertos,xylophanes porcus,24
huertos,xylophanes sp,5
huertos,xylophanes tersa,1
huertos,zanola nr impedita,2
huertos,zanola verago,3
huertos,zaretis itys,10
huertos,zera hyacinthinus,2
huertos,zolessia felderi,1
hunter trail,chlosyne janais,34
hunter trail,eois apyraria,7
hunter trail,eois nympha,11
hunter trail,eois sp,7
hunter trail,eumaeus godartii,2
hunter trail,quadrus cerialis,2
hurtado,spodoptera dolichos,1
intersect w_s,eois sp,1
"jardin de daysi, la guaria",spodoptera sp,4
jungle across river,hypena sp,1
la flaminia,acharia ophelians,15
la flaminia,actinote guatemalena,4
la flaminia,adelpha erotia,1
la flaminia,adelpha sp,1
la flaminia,aellops ceculus,2
la flaminia,anacrusis nephrodes/auleodes,1
la flaminia,antichloris viridis,4
la flaminia,apatelodes erotina,1
la flaminia,astraptes fulgerator azul,1
la flaminia,dyscophellus phraxanor,1
la flaminia,eois sp 3,1
la flaminia,gonodonta sp,1
la flaminia,isophrictus sp,18
la flaminia,lirimiris nr truncata,1
la flaminia,myscelia cyaniris cyaniris,3
la flaminia,pyrrhogyra otolais otolais,2
la flaminia,quadrus cerialis,8
la flaminia,salianas sp,1
la gamba_ sendero river side,eois sp,6
la guaria,acharia hyperoche,1
la guaria,achlyodes bursirus heros,1
la guaria,adelpha cocala lorzae,1
la guaria,astraptes fulgerator azul,1
la guaria,chlosyne janais,4
la guaria,dioptis longipennis,1
la guaria,eois numida,3
la guaria,euptychia jesia,8
la guaria,idaea sp,3
la guaria,merotoma sp,1
la guaria,quadrus cerialis,1
la guaria,saliana sp,1
la guaria,spodoptera dolichos,2
la guaria,tarchon felderi,1
la guaria_ calle principal,eois obada,6
la selva,bardaxima perces,5
la selva,eois sp,1
la selva,euptychia jesia,3
la selva,papilio birchalli godmani,1
la selva,quadrus cerialis,2
la selva,zanola verago,1
lab,telemiades nr antiope,1
lab clearing,acharia horrida,1
lab clearing,acharia nesea,63
lab clearing,acharia sarans,16
lab clearing,acrotomia mucia,1
lab clearing,adelpha cocala lorzae,2
lab clearing,adelpha cytherea marcia,1
lab clearing,amastus helops,2
lab clearing,anacrusis auleodes,1
lab clearing,apatelodes erotina,2
lab clearing,apatelodes sp,1
lab clearing,astraptes fulgerator azul,2
lab clearing,astraptes sp,3
lab clearing,automeris phrynon,1
lab clearing,automeris postalbida,4
lab clearing,automeris sp,73
lab clearing,automeris tridens,10
lab clearing,caerois gerdrudtus,1
lab clearing,caligo memnon,2
lab clearing,callopistria jamaicensis,1
lab clearing,catephiodes trinidadensis,2
lab clearing,catonephele orites,1
lab clearing,catonephele sp,1
lab clearing,chlosyne gaudealis,1
lab clearing,chlosyne janais,7
lab clearing,consul fabius cecrops,6
lab clearing,copaxa curvilinear,3
lab clearing,cosmosoma sp,5
lab clearing,cropia nr cedice,3
lab clearing,cyclomia disparilis,1
lab clearing,cyclosaemia subcoerulea,1
lab clearing,desmotrichia ursula,7
lab clearing,dioptis longipennis,1
lab clearing,disphragis albolineata,5
lab clearing,dysschema leucophaea,1
lab clearing,ebrietas evanidus,5
lab clearing,ebrietas sp,2
lab clearing,emurena tripunctata,1
lab clearing,eois apyraria,3
lab clearing,eois nr citriaria,4
lab clearing,eois numida,2
lab clearing,eois picalis,1
lab clearing,eois russearia,4
lab clearing,eois sp,1
lab clearing,epimecis sp,1
lab clearing,erinnyis ello,1
lab clearing,eucereon latifascia,2
lab clearing,eucereon sp,1
lab clearing,euclea plugma,1
lab clearing,euclystis plusiodes,4
lab clearing,eueides aliphera,4
lab clearing,eueides isabella,3
lab clearing,eueides vibilia vialis,35
lab clearing,eumorpha anchemola,1
lab clearing,euptychia jesia,40
lab clearing,euselasia mystica,23
lab clearing,eutolype sp,20
lab clearing,eutolype sp 2,1
lab clearing,gamelia septentrionalis,10
lab clearing,gonodonta nr fuvangula,1
lab clearing,halysidota pectenalla,41
lab clearing,halysidota sp,22
lab clearing,hemerophila sp,1
lab clearing,hemiceras vecina,1
lab clearing,historis odius,1
lab clearing,hyaleucerea sp 1,4
lab clearing,hyaleucerea sp 2,3
lab clearing,hylesia sp,137
lab clearing,hyperchiria sp,15
lab clearing,hypercompe leata,1
lab clearing,hypothyris euclea valora,24
lab clearing,iscadia furcifera,7
lab clearing,ithomiola theages theages,1
lab clearing,leucochimona lepida,1
lab clearing,lirimiris meridionalis,4
lab clearing,lycorea cleobaea atergatis,4
lab clearing,macroneme iole,1
lab clearing,malocampa punctata,1
lab clearing,manduca corralina,2
lab clearing,manduca florestan,2
lab clearing,manduca occulta,1
lab clearing,manduca sexta,1
lab clearing,marpesia berania,1
lab clearing,marpesia chiron,1
lab clearing,marpesia petreus,27
lab clearing,marpesia sp,1
lab clearing,megalopyge albicollis,2
lab clearing,megeuptychia antonoe,1
lab clearing,melinaea ethra lilis,3
lab clearing,memphis pithyusa,2
lab clearing,merotoma sp,1
lab clearing,morpho peleides limpida,4
lab clearing,myscelus amystis,2
lab clearing,olceclostera sp,1
lab clearing,opsiphanes cassina,1
lab clearing,opsiphanes sp,1
lab clearing,opsiphanes tamarindi,3
lab clearing,oxydia sp,1
lab clearing,oxytenis modestia,2
lab clearing,pachydota sp,1
lab clearing,pachylia ficus,7
lab clearing,pachylia syces,16
lab clearing,papilio birchalli godmani,1
lab clearing,papilio thoas neacles,2
lab clearing,periphoba arcaei,4
lab clearing,periphoba sp,9
lab clearing,pero sp,1
lab clearing,phanoptis cyanomelas,1
lab clearing,philaethria dido,2
lab clearing,phoebis argante,2
lab clearing,protambulyx eyrycles,1
lab clearing,pyrrhogyra crameri,2
lab clearing,pyrrhogyra otolais otolais,1
lab clearing,pyrrhogyra sp,9
lab clearing,quadrus cerialis,6
lab clearing,quentalia chromana,1
lab clearing,quentalia sp,111
lab clearing,quentalia sp 1,32
lab clearing,quentalia sp 2,7
lab clearing,quentalia sp 3,1
lab clearing,rifargia distinguenda,1
lab clearing,rosema tinae,1
lab clearing,saliana sp,2
lab clearing,saliana sp 2,1
lab clearing,schizura sp,1
lab clearing,scotura leucophleps,12
lab clearing,spodoptera sp,1
lab clearing,tarchon felderi,1
lab clearing,thracides phidon,1
lab clearing,thysanopyga carfinia,1
lab clearing,tigridia acesta,4
lab clearing,tortyra cuprinela,30
lab clearing,tromba xanthura,1
lab clearing,xylophanes chiron,3
lab clearing,xylophanes pluto,10
lab clearing,xylophanes porcus,8
lab clearing,zanola verago,1
lab/mens room,manduca sp,3
lab/mens room,olceclostera nr bifenestrada,3
lado gap,pantographa suffusalis,2
lep,quadrus cerialis,1
lep 1600 plot 117,periga cluacina,37
lep 2150,quadrus cerialis,2
lep lab,consul fabius cecrops,1
lia 500,quadrus cerialis,1
loc,anacrusis auleodes,1
loc,cyclomia nr disparilis,7
loc,dyscophellus phraxanor,1
loc,entheus matho,7
loc,eois apyraria,74
loc,eois nympha,23
loc,parides erithalion sadyattes,1
loc 100,eois nympha,3
loc 100,isanthrene sp,1
loc 1000,eois apyraria,3
loc 1000,eois sp,1
loc 1050,tarchon felderi,1
loc 1100,eois nympha,15
loc 1100 plot 103,scotura leucophleps,3
loc 1450,chlosyne janais,1
loc 150,omiodes sp,1
loc 1600 plot 105,dioptis longipennis,1
loc 1600 plot 105,epiperola paida,1
loc 1600 plot 105,telemiades nr antiope,1
loc 1650,astraptes fulgerator azul,1
loc 1800,quadrus cerialis,2
loc 1800,tigridia acesta,1
loc 1850 plot 106,dioptis longipennis,1
loc 200,cyclomia disparilis,1
loc 200,eois apyraria,4
loc 200,eois nympha,5
loc 200,xanthopastis sp,16
loc 2000,quadrus cerialis,1
loc 2200,eois nympha,1
loc 2200,tarchon felderi,2
loc 2250,eois apyraria,10
loc 2250,eois nympha,9
loc 250 plot 27,automeris beltii,1
loc 2550,marpesia merops,1
loc 2600,eois nympha,5
loc 300,anacrusis nephrodes,1
loc 300,astraptes fulgerator azul,1
loc 300,eois apyraria,3
loc 300,eois nympha,1
loc 300,merotoma sp,1
loc 350,astraptes fulgerator azul,2
loc 350,eois apyraria,1
loc 350,eois nympha,1
loc 50,chlosyne janais,6
loc 50,cyclomia nr disparilis,3
loc 50,eois apyraria,4
loc 50,euptychia jesia,1
loc 50,gonodonta sp,2
loc 50,parides erithalion sadyattes,1
loc 50,quadrus cerialis,4
loc 50,spodoptera eridania,7
loc 50-100,eois apyraria,2
loc 500,eois nympha,13
loc 500,eois sp,1
loc 500,quadrus cerialis,4
loc 600,cyclophora sp,2
loc 600,eois nympha,1
loc 600,euptychia sp,1
loc 610,eois nympha,1
loc 650,eois apyraria,3
loc 650,eois nympha,16
loc 750,eois apyraria,2
loc 750,eois nympha,3
loc 800,eois apyraria,9
loc 850,eois apyraria,1
loc 850,eois nympha,11
loc 90,cyclomia disparilis,1
loc 950,eois sp,1
loc bridge,quadrus cerialis,4
loc trail,eois sp 12,4
ls,eois apyraria,2
ls,eois nympha,31
ls 1450,quadrus cerialis,1
ls 2000,quadrus cerialis,2
ls 2700,eois nympha,3
ls 2750,eois apyraria,19
ls 2750,eois mexicaria,2
ls 2750,eois nympha,40
ls 2751,eois nympha,1
ls 2752,eois nympha,1
ls 2753,eois nympha,1
ls 2754,eois nympha,1
ls 2755,eois nympha,1
ls 2756,eois nympha,1
ls 2757,eois nympha,1
ls 2758,eois nympha,1
ls 3000,eois sp 12,5
ls 3240,eois apyraria,3
ls 4550,quadrus cerialis,1
met tower,omiodes sp,1
met tower,pseudasellodes fenestraria,2
montana de la loma,achlyodes bursirus heros,1
montana de la loma,quadrus cerialis,1
off station,eumaeus godartii,10
orilla de rio esquina,chlosyne janais,47
parcela 1 plant 2,quadrus cerialis,1
parcela 12,eois nympha,4
parcela 12,quadrus cerialis,1
parcela 13,asturodes fimbriauralis,1
parcela 13,erbessa salvini,1
parcela 14,eois apyraria,2
parcela 19 plant 6,quadrus cerialis,1
parcela 2,eois nympha,1
parcela 2,quadrus cerialis,2
parcela 2 planta 1,quadrus cerialis,1
parcela 23 plant 4,quadrus cerialis,1
parcela 27,eois apyraria,44
parcela 27,eois nympha,1
parcela 3,eois russearia,1
parcela 30 planta 3,quadrus cerialis,2
parcela 4,hamadryas sp,4
parcela 4,quadrus cerialis,1
parcela 5,eois apyraria,5
parcela 5,eois nympha,5
parcela 5,eois russearia,1
parcela 6,dioptis sp,1
parcela 6,eois sp,1
parcela 7 planta 1,quadrus cerialis,1
parcela 7 planta 5,quadrus cerialis,1
parcela exp 17,quadrus cerialis,1
parcela exp 2 planta 10,quadrus cerialis,1
parcela exp 2 planta 4,quadrus cerialis,1
parcela exp 27 planta 1,quadrus cerialis,3
parcela exp 27 planta 2,quadrus cerialis,1
parcela exp 27 planta 3-1,quadrus cerialis,1
parcela exp 27 planta 6,quadrus cerialis,1
parcela exp 27 planta 7,eois apyraria,15
parcela exp 30,eois sp,3
parcela exp 5 planta 11,quadrus cerialis,1
parcela exp 5 planta 2,quadrus cerialis,1
parcela experimental,quadrus cerialis,1
parcelas,eois apyraria,2
parcelas,eois nympha,8
park entrance,eois sp,2
parque tapanti,eois sp,8
parque tapanti_ en el mirador,eois sp,2
penjamo,gonodonta sp,1
penjamo,mechanitis polymnia isthmia,49
pf,tithraustes lambertae,1
piper garden,quadrus cerialis,3
plantas exc,apatelodes erotina,1
plantas exc,asturodes fimbriauralis,1
plantas exc,consul fabius cecrops,1
plantas exc,dysschema magdala,1
plantas exc,eueides aliphera,1
plantas exc,heliconius hecale zuleika,2
plantas exc,manduca occulta,1
plantas exc,melese flavipuncta,1
plantas exc,milanion sp,3
plantas exc,plusidonta repellens,1
plantas exc,tarchon felderi,1
plantas exc,urbanus nr pronus,1
plantas exceptional ss 800,phaeoblemma dares,1
plats,phoebis philea philea,1
plaza,cissia alcinoe,1
plot 1012,quadrus cerialis,1
plot 1021 plant 31,quadrus cerialis,1
plot 107,dioptis longipennis,1
plot 107,papilio birchalli godmani,2
plot 108,cyclomia nr disparilis,1
plot 108,dioptis longipennis,1
plot 108,euclystis plusiodes,1
plot 109,anomis nr patagiata,1
plot 111,telemiades nr antiope,1
plot 113,eois sp,2
plot 115,myscelus amystis,1
plot 116,automeris sp,22
plot 128,dioptis longipennis,2
plot 131,myscelus amystis,1
plot 139,xylophanes sp,1
plot 14,eois nympha,1
plot 145,cyclomia nr disparilis,1
plot 15 plant 11,quadrus cerialis,1
plot 150,anomis sp,1
plot 150,desmia sp,2
plot 150,xylophanes sp,1
plot 154,telemiades nr antiope,1
plot 156,cyclomia disparilis,1
plot 156,eois sp,1
plot 157,acharia nesea,5
plot 157,cropia grandimacula,5
plot 158,dyscophellus phraxanor,1
plot 16,eois sp,2
plot 160,cyclomia disparilis,1
plot 161,apatelodes adrastia,1
plot 161,spodoptera sp,4
plot 162,antaeotricha renselariana,3
plot 162,dysschema leucophaea,1
plot 162,eueides aliphera,5
plot 162,heliconius sara fulgidus,3
plot 162,pellicia dimidiata,1
plot 162,spodoptera sp,3
plot 163,malocampa nr matralis,4
plot 163,tigridia acesta,1
plot 164,anarmodia nebulosalis,30
plot 164,tigridia acesta,3
plot 165,eois sp,1
plot 17,quadrus cerialis,1
plot 172,scotura leucophleps,4
plot 177,gymnelia salvini,1
plot 178,malocampa nr matralis,1
plot 186,anomis sp,1
plot 186,gonodonta sp,1
plot 2,eois sp,1
plot 20,astraptes fulgerator azul,1
plot 20,quadrus cerialis,1
plot 22,quadrus sp,1
plot 23,quadrus cerialis,1
plot 25,eois sp 7,1
plot 30,eois sp 5,2
plot 4 plant 2,quadrus cerialis,1
plot 43,automeris postalbida,1
plot 501,dioptis sp,2
plot 56,eois sp,2
plot 57,eois nympha,2
plot 67,marpesia sp,1
plot 67,quadrus cerialis,1
plot 71,automeris sp,1
plot 76,automeris sp,1
plot 76,eois nympha,1
plot 78,dioptis sp,1
plot 88,dioptis sp,1
plot 9,panthiades sp,1
plot 9,tarchon felderi,1
plot 91,eois sp 14,2
plot 94,quadrus cerialis,1
plot 95,dioptis longipennis,1
plot 96,eois sp,4
primary forest,adelpha sp,1
primary forest,automeris postalbida,1
primary forest,automeris sp,1
primary forest,scotura leucophleps,5
primary forest,tithraustes lambertae,6
puente e del r,chloropaschia sp,1
puente e del r,milanion sp,3
puente el salto,eois apyraria,3
puente el salto,gamelia septentrionalis,1
puente el salto,radara nr nealcesalis,1
puente el sura,telemiades nr antiope,2
puente est del rio,automeris postalbida,1
puente est del rio,tithorea tarricina pinthias,1
puente principal,arawakus sp,1
puente principal,automeris sp,24
puente principal,catonephele sp,1
puente principal,lirimiris nr truncata,1
puente principal,lycaeides sp,1
puente principal,tarchon felderi,1
puente salto,eois apyraria,2
puente salto,quadrus cerialis,4
puente sura,quadrus cerialis,1
quinta st cecilia,eois sp,5
refugio el socorro san miguel de sarapiqui,eois apyraria,1
remote lab,astraptes fulgerator azul,1
remote lab,consul fabius cecrops,1
remote lab,cyclosaemia subcoerulea,1
remote lab,desmia sp 3,1
remote lab,eois dryantis numida,1
remote lab,euptychia jesia,17
remote lab,memphis sp,1
remote lab,spodoptera sp,1
remote lab,tarchon felderi,1
remote lab clearing,achlyodes bursirus heros,1
remote lab clearing,astraptes fulgerator azul,1
remote lab clearing,cyclosaemia subcoerulea,1
remote lab clearing,quadrus cerialis,1
research swamp,cyclomia nr disparilis,1
research swamp,eois apyraria,41
rio puerto viejo,acharia nesea,4
rio puerto viejo,adeloneivaia jason,3
rio puerto viejo,automeris tridens,1
rio puerto viejo,crinodes sp,1
rio puerto viejo,hemiceras monegouda,6
rio sarapiqui,catonephele orites,1
river station,automeris postalbida,1
river station,dysodia sp,1
river station,manduca occulta,1
river station,megalopyge albicollis,1
river station,pericopis sp,1
river station,plusidonta repellens,1
river station,temenis laothoe agatha,1
river station,tromba xanthura,1
river trail,euptychia jesia,1
riverside,achlyodes bursirus heros,1
riverside,adeloneivaia jason,2
riverside,aellops ceculus,1
riverside,amastus helops,33
riverside,antaeotricha renselariana,7
riverside,aphrissa neleis,1
riverside,aphrissa statira,3
riverside,automeris tridens,1
riverside,chlosyne janais,4
riverside,desmia sp 2,1
riverside,desmia sp 3,67
riverside,euclystis sp,2
riverside,eurema albula,1
riverside,hapigia simplex,1
riverside,hemiceras monegouda,9
riverside,hemiceras nr torva,1
riverside,melese sixola,1
riverside,norape sp,23
riverside,pachylia ficus,4
riverside,pantographa expansalis,1
riverside,pantographa suffusalis,1
riverside,phanus sp,2
riverside,phoebis argante,5
riverside,phoebis philea philea,2
riverside,phoebis trite,42
riverside,pleuroptya silicalis,1
riverside,quentalia sp 2,3
riverside,rosema deolis,6
riverside,rosema tinae,4
riverside,siproeta epaphus epaphus,3
riverside,staphylus sp 2,1
riverside,telemiades sp 3,5
riverside,xylophanes anubus,3
riverside,zaretis itys,2
ronda de calle,achlyodes bursirus heros,3
ronda de calle,achlyodes thraso,1
ronda de calle,apatelodes erotina,1
ronda de calle,astraptes fulgerator azul,1
ronda de calle,telemiades nr antiope,1
rs,euptychia jesia,1
sa 600,eois nympha,1
salto bridge,telemiades nr antiope,1
san,chlosyne janais,6
san,epimecis sp,1
san,zaretis itys,1
sas 100,caligo atreus ,1
sas 50,quadrus cerialis,1
sat,nessaea aglaura aglaura,1
sat,scotura leucophleps,1
sat,semaeopus nodigera,1
sat,tarchon felderi,1
sat 0,memphis pithyusa,1
sat 00,pachydota albiceps,1
sat 100,chlosyne gaudealis,1
sat 100,pythoniades jovianus amaryllis,1
sat 100,staphylus sp,1
sat 1000,anacrusis sp,1
sat 1000,astraptes fulgerator azul,1
sat 1000,dysschema leucophaea,2
sat 1000,eois apyraria,6
sat 1100,antiopha multilinea,1
sat 1100,astraptes fulgerator azul,1
sat 1100,heliconius sp,1
sat 1100,tarchon felderi,1
sat 1100,vertica subrufescens,1
sat 1150,eois apyraria,11
sat 1150,eois nympha,15
sat 1150,eois sp,7
sat 1200,adelpha cocala lorzae,1
sat 1200,eois nympha,1
sat 1200,milanion sp,1
sat 1200,saliana sp 2,1
sat 1200,spodoptera sp,1
sat 1200,tortyra cuprinela,1
sat 1200,turesis complanula,1
sat 1200,turesis sp,1
sat 1250,turesis sp,1
sat 150,euptychia jesia,15
sat 150,rothschildia triloba,1
sat 1600,consul fabius cecrops,1
sat 200,cyclomia nr disparilis,1
sat 200,eois russearia,2
sat 2000,apatelodes erotina,1
sat 250,eois apyraria,70
sat 250,eois nympha,2
sat 250,eois zenobia,13
sat 250,euptychia jesia,6
sat 300,cosmosoma zucheri,1
sat 300,eois sp,1
sat 350,eois sp,1
sat 350,quadrus cerialis,2
sat 400,ategumia sp,1
sat 400,entheus matho,7
sat 450,eois sp,2
sat 450,quadrus cerialis,1
sat 50,cyclomia disparilis,1
sat 50,dubiella fiscella belpa,1
sat 50,quadrus cerialis,2
sat 500,eois sp 7,1
sat 500,zaretis itys,1
sat 550,dubiella fiscella belpa,1
sat 600,euptychia jesia,1
sat 650,consul fabius cecrops,1
sat 650,eois apyraria,1
sat 650,pythoniades jovianus amaryllis,1
sat 650,zanola verago,1
sat 700,consul fabius cecrops,1
sat 700,dryas julia,2
sat 700,dubiella fiscella belpa,1
sat 700,gonodonta bidens,1
sat 750,eois apyraria,3
sat 750,eois nympha,1
sat 750,ithomia diasa hippocrenis,7
sat 780,gonodonta latimacula,1
sat 800,apatelodes erotina,1
sat 800,eois russearia,2
sat 800,eueides aliphera,3
sat 800,heliconius hecale zuleika,1
sat 800,ithomia diasa hippocrenis,3
sat 800,staphylus sp,1
sat 800,zaretis itys,2
sat 800 plot 34,eois apyraria,5
sat 840,prochoerodes tetragonata,1
sat 850,consul fabius cecrops,1
sat 850,eois nympha,1
sat 850,eois sp,16
sat 850,nessaea aglaura aglaura,1
sat 875,papilio thoas neacles,1
sat 880,consul fabius cecrops,1
sat 900,anacrusis sp,1
sat 900,tarchon felderi,1
sat 950,battus belus varus,4
sat 950,eois apyraria,7
sat 950,eois nympha,7
sat 950,eois sp,2
sat 950,turesis sp,4
sat bridge 2,euptychia jesia,1
saz,euptychia jesia,8
saz,gonodonta sp,1
saz 100,consul fabius cecrops,1
saz 100,quadrus cerialis,1
saz 100,salianas sp,1
saz 150,eois apyraria,18
saz 150,quadrus cerialis,2
saz 150,saliana sp,1
saz 200,euptychia jesia,1
saz 200,nica canthara,1
saz 200,quadrus cerialis,4
saz 220,gonodonta sp,1
saz 300,astraptes fulgerator azul,1
saz 300,eois sp,1
saz 300,hypena sp,1
saz 300,quadrus cerialis,3
saz 300,zanola verago,2
saz 350,astraptes augeas,1
saz 350,dysschema jansonis,14
saz 350,quadrus cerialis,4
saz 400,quadrus cerialis,3
saz 450,consul fabius cecrops,1
saz 450,eois obada,1
saz 450,eois sp,1
saz 450,oraesia nobilis,1
saz 50,quadrus cerialis,2
saz 500,quadrus cerialis,1
saz 525,quadrus cerialis,1
saz 540,quadrus cerialis,1
saz 550,eois sp,2
saz 550,euptychia jesia,2
saz 700,quadrus cerialis,5
saz 800,eois russearia,1
saz 850,chlosyne janais,1
saz 850,telemiades sp,3
saz 900,cosmosoma sp,1
saz cerca de cabinas,apatelodes erotina,3
saz side trail,eois apyraria,6
saz side trail,eois russearia,1
sch,copaxa curvilinear,1
sch,cyclomia nr disparilis,1
sch,melese sixola,1
sch,paches sp,1
sch,pericopis sp,1
sch,pero dularia,1
sch,quadrus cerialis,1
sch,saurita cassandra,1
sch,temenis sp,1
sch,tithraustes lambertae,1
sch 100,apatelodes erotina,4
sch 100,euptychia jesia,13
sch 150,ithomia diasa hippocrenis,1
sch 150,macroneme nr caerulescens,1
sch 150,tarchon felderi,1
sch 150,tueresis sp,1
sch 200,apatelodes erotina,2
sch 200,zaretis itys,3
sch 25,anacrusis sp,1
sch 300,quadrus cerialis,2
sch 300,tithraustes lambertae,1
sch 400,cimicodes ferruginea,1
sch 400,zaretis itys,1
sch 50,astraptes fulgerator azul,1
sch 50,marpesia merops,1
sch 500,zaretis itys,1
scha,achlyodes bursirus heros,2
scha,astraptes fulgerator azul,1
scha,dismorphia amphiona praxinoe,4
scha,dryas julia,2
scha,tarchon felderi,2
sds,astraptes fulgerator azul,1
sds,automeris postalbida,1
sds,dyscophellus phraxanor,1
sds,milanion sp,2
sds,quadrus cerialis,2
sds,talides sp,1
sds 250,manduca sp,8
sds 300,gonodonta sp,1
sds 300,quadrus cerialis,1
sec,pleuroptya silicalis,1
sec 350,cosmosoma sp,1
sec 700,spodoptera eridania,1
secondary forest,zaretis itys,4
sedr 200,quadrus cerialis,1
sedr 50,manduca pellenia,1
sedr 700,chlosyne janais,3
seh 100,euptychia jesia,3
sen,tarchon felderi,1
sen 100,gonodonta sp,1
sen 250,quadrus cerialis,1
sen 750,quadrus cerialis,1
sendero arboles caidos,eois sp,16
sendero la plaza,eois sp,12
