 INDIV ,species,Locality,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,ml of Dilution,dilution,,50% MAMU,,
4.53,T.c.,Grizzly Flat,34.9,435,,  0.770 ,  0.731 ,0.751 ,50MU,0.02493605,1.73,43.38%,,0.125,,,,
4.53,T.c.,Grizzly Flat,34.9,435,,  0.770 ,  0.731 ,0.751 ,100MU,0.0498721,1.936,38.77%,,0.249,,,,
4.53,T.c.,Grizzly Flat,34.9,435,,  0.770 ,  0.731 ,0.751 ,200MU,0.0997442,4.575,16.40%,,0.499,,,,
4.54,T.c.,Grizzly Flat,35.6,423,,  0.987 ,  0.972 ,0.980 ,1MU,0.000508724,1.073,91.29%,,0.051,,80,,
4.54,T.c.,Grizzly Flat,35.6,423,,  0.987 ,  0.972 ,0.980 ,3MU,0.001526172,0.864,113.37%,,0.153,,,,
4.54,T.c.,Grizzly Flat,35.6,423,,  0.987 ,  0.972 ,0.980 ,6MU,0.003052344,0.895,109.44%,,0.061,,,,
4.54,T.c.,Grizzly Flat,35.6,423,,  0.987 ,  0.972 ,0.980 ,10MU,0.00508724,0.679,144.26%,,0.102,,,,
4.54,T.c.,Grizzly Flat,35.6,423,,  0.987 ,  0.972 ,0.980 ,25MU,0.0127181,1.291,75.87%,,0.064,0.2,,,
4.54,T.c.,Grizzly Flat,35.6,423,,  0.987 ,  0.972 ,0.980 ,50MU,0.0254362,1.48,66.18%,,0.127,,,,
4.54,T.c.,Grizzly Flat,35.6,423,,  0.987 ,  0.972 ,0.980 ,100MU,0.0508724,2.488,39.37%,,0.254,,,,
4.54,T.c.,Grizzly Flat,35.6,423,,  0.987 ,  0.972 ,0.980 ,200MU,0.1017448,8.628,11.35%,,0.509,,,,
4.55,T.c.,Grizzly Flat,59.9,544,,  0.589 ,  0.611 ,0.600 ,1MU,0.000855971,0.681,88.11%,,0.086,,18.6,,
4.55,T.c.,Grizzly Flat,59.9,544,,  0.589 ,  0.611 ,0.600 ,3MU,0.002567913,0.719,83.45%,,0.051,0.05,,,
4.55,T.c.,Grizzly Flat,59.9,544,,  0.589 ,  0.611 ,0.600 ,6MU,0.005135826,0.854,70.26%,,0.103,,,,
4.55,T.c.,Grizzly Flat,59.9,544,,  0.589 ,  0.611 ,0.600 ,10MU,0.00855971,0.775,77.42%,,0.171,,,,
4.55,T.c.,Grizzly Flat,59.9,544,,  0.589 ,  0.611 ,0.600 ,25MU,0.021399275,2.047,29.31%,,0.107,0.2,,,
4.55,T.c.,Grizzly Flat,59.9,544,,  0.589 ,  0.611 ,0.600 ,50MU,0.04279855,5.735,10.46%,,0.214,,,,
4.55,T.c.,Grizzly Flat,59.9,544,,  0.589 ,  0.611 ,0.600 ,100MU,0.0855971,7.215,8.32%,,0.428,,,,
4.55,T.c.,Grizzly Flat,59.9,544,,  0.589 ,  0.611 ,0.600 ,200MU,0.1711942,10.824,5.54%,,0.856,,,,
4.56,T.c.,Grizzly Flat,5.6,220,,  1.032 ,  1.167 ,1.100 ,1MU,0.000080024,1.19,92.39%,,0.080,0.001,102,,
4.56,T.c.,Grizzly Flat,5.6,220,,  1.032 ,  1.167 ,1.100 ,3MU,0.000240072,1.293,85.03%,,0.024,,,,
4.56,T.c.,Grizzly Flat,5.6,220,,  1.032 ,  1.167 ,1.100 ,6MU,0.000480144,1.39,79.10%,,0.010,,,,
4.56,T.c.,Grizzly Flat,5.6,220,,  1.032 ,  1.167 ,1.100 ,10MU,0.00080024,1.232,89.25%,,0.016,,,,
4.56,T.c.,Grizzly Flat,5.6,220,,  1.032 ,  1.167 ,1.100 ,25MU,0.0020006,1.395,78.82%,,0.040,,,,
4.56,T.c.,Grizzly Flat,5.6,220,,  1.032 ,  1.167 ,1.100 ,50MU,0.0040012,1.322,83.17%,,0.020,,,,
4.56,T.c.,Grizzly Flat,5.6,220,,  1.032 ,  1.167 ,1.100 ,100MU,0.0080024,2.16,50.90%,,0.040,,,,
4.56,T.c.,Grizzly Flat,5.6,220,,  1.032 ,  1.167 ,1.100 ,200MU,0.0160048,7.373,14.91%,,0.080,,,,
,,,,,,,,,,,,,,,,,,
INDIV (04),species,locality,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,1 MU/g,ml of Dilution,,,,
VC1,T.c.,Wishon,5.6,186,254,1.437 ,1.210 ,1.324 ,25,0.0020006,1.565,84.57%,0.00001429,0.040 ,0.05,40.7,,
VC1,T.c.,Wishon,5.6,186,254,1.437 ,1.210 ,1.324 ,50,0.0040012,4.448,29.75%,,0.080 ,0.05,,,
VC1,T.c.,Wishon,5.6,186,254,1.437 ,1.210 ,1.324 ,100,0.0080024,5.658,23.39%,,0.080 ,0.1,,,
VC10,T.c.,Wishon,4.4,180,247,1.426 ,1.403 ,1.415 ,25,0.0015719,1.515,93.37%,,0.031 ,0.05,98.6,,
VC10,T.c.,Wishon,4.4,180,247,1.426 ,1.403 ,1.415 ,50,0.0031438,2.065,68.50%,,0.063 ,0.05,,,
VC10,T.c.,Wishon,4.4,180,247,1.426 ,1.403 ,1.415 ,100,0.0062876,2.862,49.42%,,0.063 ,0.1,,,
VC11,T.c.,Wishon,5.4,188,259,1.464 ,1.507 ,1.486 ,25,0.00192915,1.371,108.35%,,0.039 ,0.05,>100,,
VC11,T.c.,Wishon,5.4,188,259,1.464 ,1.507 ,1.486 ,50,0.0038583,1.762,84.31%,,0.077 ,0.05,,,
VC11,T.c.,Wishon,5.4,188,259,1.464 ,1.507 ,1.486 ,100,0.0077166,2.838,52.34%,,0.077 ,0.1,,,
VC12,T.c.,Wishon,4.3,182,252,1.177 ,1.424 ,1.301 ,25,0.001536175,,,66.00%,0.031 ,0.05,86,,
VC12,T.c.,Wishon,4.3,182,252,1.177 ,1.424 ,1.301 ,50,0.00307235,2.326,55.91%,64.99%,0.061 ,0.05,,,
VC12,T.c.,Wishon,4.3,182,252,1.177 ,1.424 ,1.301 ,100,0.0061447,2.936,44.29%,60.96%,0.061 ,0.1,,,
VC2,T.c.,Wishon,4.8,193,264,1.616 ,1.445 ,1.531 ,25,0.0017148,1.596,95.90%,,0.034 ,0.05,74.5,,
VC2,T.c.,Wishon,4.8,193,264,1.616 ,1.445 ,1.531 ,50,0.0034296,2.173,70.43%,,0.069 ,0.05,,,
VC2,T.c.,Wishon,4.8,193,264,1.616 ,1.445 ,1.531 ,100,0.0068592,5.27,29.04%,,0.069 ,0.1,,,
VC3,T.c.,Wishon,4.5,188,260,1.427 ,1.338 ,1.383 ,25,0.001607625,2.042,67.70%,,0.032 ,0.05,45.8,,
VC3,T.c.,Wishon,4.5,188,260,1.427 ,1.338 ,1.383 ,50,0.00321525,2.985,46.31%,,0.064 ,0.05,,,
VC3,T.c.,Wishon,4.5,188,260,1.427 ,1.338 ,1.383 ,100,0.0064305,6.944,19.91%,,0.064 ,0.1,,,
VC4,T.c.,Wishon,5,191,259,1.576 ,1.307 ,1.442 ,25,0.00178625,1.421,101.44%,,0.036 ,0.05,>100,,
VC4,T.c.,Wishon,5,191,259,1.576 ,1.307 ,1.442 ,50,0.0035725,2.489,57.91%,,0.071 ,0.05,,,
VC4,T.c.,Wishon,5,191,259,1.576 ,1.307 ,1.442 ,100,0.007145,2.768,52.08%,,0.071 ,0.1,,,
VC5,T.c.,Wishon,4.8,185,258,1.678 ,1.598 ,1.638 ,25,0.0017148,1.484,110.38%,,0.034 ,0.05,>100,,
VC5,T.c.,Wishon,4.8,185,258,1.678 ,1.598 ,1.638 ,50,0.0034296,1.998,81.98%,,0.069 ,0.05,,,
VC5,T.c.,Wishon,4.8,185,258,1.678 ,1.598 ,1.638 ,100,0.0068592,2.993,54.73%,,0.069 ,0.1,,,
VC7,T.c.,Wishon,4.9,187,255,1.260 ,1.573 ,1.417 ,25,0.001750525,1.58,89.65%,,0.035 ,0.05,74,,
VC7,T.c.,Wishon,4.9,187,255,1.260 ,1.573 ,1.417 ,50,0.00350105,2.235,63.38%,,0.070 ,0.05,,,
VC7,T.c.,Wishon,4.9,187,255,1.260 ,1.573 ,1.417 ,100,0.0070021,4.008,35.34%,,0.070 ,0.1,,,
VC8,T.c.,Wishon,5.5,188,260,1.155 ,1.668 ,1.412 ,25,0.001964875,1.064,132.66%,,0.039 ,0.05,69,,
VC8,T.c.,Wishon,5.5,188,260,1.155 ,1.668 ,1.412 ,50,0.00392975,2.354,59.96%,,0.079 ,0.05,,,
VC8,T.c.,Wishon,5.5,188,260,1.155 ,1.668 ,1.412 ,100,0.0078595,4.156,33.96%,,0.079 ,0.1,,,
VC9,T.c.,Wishon,4.3,188,258,0.999 ,1.485 ,1.242 ,25,0.001536175,1.555,79.87%,,0.031 ,0.05,63.2,,
VC9,T.c.,Wishon,4.3,188,258,0.999 ,1.485 ,1.242 ,50,0.00307235,2.401,51.73%,,0.061 ,0.05,,,
VC9,T.c.,Wishon,4.3,188,258,0.999 ,1.485 ,1.242 ,100,0.0061447,2.737,45.38%,,0.061 ,0.1,,,
,,,,,,,,,,,,,,,,,,
5.62,T.c.,Wishon,46.6,490,674,  0.601 ,  0.557 ,0.579 ,10MU,0.00665914,0.629,92.05%,,0.067,0.1,>100,,
5.62,T.c.,Wishon,46.6,490,674,  0.601 ,  0.557 ,0.579 ,50MU,0.0332957,0.724,79.97%,,0.033,1,,,
5.62,T.c.,Wishon,46.6,490,674,  0.601 ,  0.557 ,0.579 ,100MU,0.0665914,0.997,58.07%,,0.067,1,,,
INDIV,species,Locality,WT,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,,,
5.107,T.c.,Dogtown Cr.,3.8,212,277,  1.388 ,  1.047 ,1.218 ,10MU,0.00054302,1.342,90.72%,0.00001429,0.054,0.01,>100,,
5.107,T.c.,Dogtown Cr.,3.8,212,277,  1.388 ,  1.047 ,1.218 ,50MU,0.0027151,1.344,90.59%,,0.027,0.1,,,
5.107,T.c.,Dogtown Cr.,3.8,212,277,  1.388 ,  1.047 ,1.218 ,100MU,0.0054302,1.231,98.90%,,0.054,0.1,,,
5.108,T.c.,Dogtown Cr.,8,278,363,  1.355 ,  1.234 ,1.295 ,10MU,0.0011432,1.595,81.16%,,0.114,0.01,>100,,
5.108,T.c.,Dogtown Cr.,8,278,363,  1.355 ,  1.234 ,1.295 ,50MU,0.005716,,,,0.057,0.1,,,
5.108,T.c.,Dogtown Cr.,8,278,363,  1.355 ,  1.234 ,1.295 ,100MU,0.011432,1.988,65.12%,,0.114,0.1,,,
5.109,T.c.,Dogtown Cr.,4.9,220,294,  1.475 ,  1.475 ,1.475 ,10MU,0.00070021,2.134,69.12%,67.12%,0.070,0.01,>100,,
5.109,T.c.,Dogtown Cr.,4.9,220,294,  1.475 ,  1.475 ,1.475 ,50MU,0.00350105,1.504,98.07%,77.44%,0.035,0.1,,,
5.109,T.c.,Dogtown Cr.,4.9,220,294,  1.475 ,  1.475 ,1.475 ,100MU,0.0070021,2.076,71.05%,79.41%,0.070,0.1,,,
5.139,T.c.,Devil's Corral,13.3,331,439,0.729,0.568,0.649 ,1MU,0.000190057,1.164,55.71%,0.00001429,0.019,0.01,Can't use these,,
5.139,T.c.,Devil's Corral,13.3,331,439,0.729,0.568,0.649 ,0.5MU,0.0000950285,0.671,96.65%,,0.019,0.005,,,
  5.140 ,T.c.,Devil's Corral,41.9,530,701,  0.663 ,  0.501 ,0.582 ,1MU,0.000598751,0.776,75.00%,,0.060,0.01,,,
  5.140 ,T.c.,Devil's Corral,41.9,530,701,  0.663 ,  0.501 ,0.582 ,0.5MU,0.0002993755,0.61,95.41%,,0.060,0.005,,,
  5.141 ,T.c.,Devil's Corral,16.4,368,493,  0.718 ,  0.809 ,0.764 ,1MU,0.000234356,0.897,85.12%,,0.023,0.01,,,
  5.141 ,T.c.,Devil's Corral,16.4,368,493,  0.718 ,  0.809 ,0.764 ,0.5MU,0.000117178,0.719,106.19%,,0.023,0.005,,,
  5.142 ,T.c.,Devil's Corral,97.7,665,860,  0.864 ,  0.781 ,0.823 ,1MU,0.001396133,0.814,101.04%,,0.140,0.01,,,
  5.142 ,T.c.,Devil's Corral,97.7,665,860,  0.864 ,  0.781 ,0.823 ,0.5MU,0.0006980665,0.415,198.19%,,0.140,0.005,,,
  5.143 ,T.c.,Devil's Corral,53.4,535,663,  0.662 ,  0.626 ,0.644 ,1MU,0.000763086,0.573,112.39%,,0.076,0.01,,,
  5.143 ,T.c.,Devil's Corral,53.4,535,663,  0.662 ,  0.626 ,0.644 ,0.5MU,0.000381543,0.58,111.03%,,0.076,0.005,,,
  5.144 ,T.c.,Devil's Corral,17.8,383,512,  0.789 ,  0.661 ,0.725 ,1MU,0.000254362,0.786,92.24%,,0.025,0.01,,,
  5.144 ,T.c.,Devil's Corral,17.8,383,512,  0.789 ,  0.661 ,0.725 ,0.5MU,0.000127181,0.618,117.31%,,0.025,0.005,,,
  5.145 ,T.c.,Devil's Corral,41.1,502,677,  0.666 ,  0.539 ,0.603 ,1MU,0.000587319,0.685,87.96%,117.17%,0.059,0.01,,,
  5.145 ,T.c.,Devil's Corral,41.1,502,677,  0.666 ,  0.539 ,0.603 ,0.5MU,0.0002936595,0.58,103.88%,117.57%,0.059,0.005,,,
  5.146 ,T.c.,Devil's Corral,47,517,676,  0.670 ,  0.535 ,0.603 ,5MU,0.00335815,0.838,71.90%,,0.336,0.01,7.17,,
  5.146 ,T.c.,Devil's Corral,47,517,676,  0.670 ,  0.535 ,0.603 ,10MU,0.0067163,2.761,21.82%,,0.134,0.05,,,
  5.147 ,T.c.,Devil's Corral,20.5,390,,  0.782 ,  0.772 ,0.777 ,5MU,0.001464725,1.473,52.75%,,0.146,0.01,5.33,,
  5.147 ,T.c.,Devil's Corral,20.5,390,,  0.782 ,  0.772 ,0.777 ,10MU,0.00292945,6.293,12.35%,,0.059,0.05,,,
  5.148 ,T.c.,Devil's Corral,15.3,355,435,  0.753 ,  0.677 ,0.715 ,5MU,0.001093185,0.829,86.25%,,0.109,0.01,7.76,,
  5.148 ,T.c.,Devil's Corral,15.3,355,435,  0.753 ,  0.677 ,0.715 ,10MU,0.00218637,3.482,20.53%,,0.044,0.05,,,
  5.149 ,T.c.,Devil's Corral,27.7,430,576,  0.633 ,  0.696 ,0.665 ,5MU,0.001979165,1.206,55.10%,,0.198,0.01,5.55,,
  5.149 ,T.c.,Devil's Corral,27.7,430,576,  0.633 ,  0.696 ,0.665 ,10MU,0.00395833,6.786,9.79%,,0.079,0.05,,,
  5.150 ,T.c.,Devil's Corral,5.4,260,,  1.148 ,  1.096 ,1.122 ,5MU,0.00038583,1.762,63.68%,,0.039,0.01,6.19,,
  5.150 ,T.c.,Devil's Corral,5.4,260,,  1.148 ,  1.096 ,1.122 ,10MU,0.00077166,17.848,6.29%,,0.077,0.01,,,
  5.151 ,T.c.,Devil's Corral,13,344,459,  0.815 ,  0.628 ,0.722 ,5MU,0.00092885,0.954,75.63%,,0.093,0.01,9.5,,
  5.151 ,T.c.,Devil's Corral,13,344,459,  0.815 ,  0.628 ,0.722 ,10MU,0.0018577,1.531,47.13%,,0.037,0.05,,,
  5.152 ,T.c.,Devil's Corral,20,382,493,  0.914 ,  0.726 ,0.820 ,5MU,0.001429,0.933,87.89%,49.36%,0.143,0.01,7.95,,
  5.152 ,T.c.,Devil's Corral,20,382,493,  0.914 ,  0.726 ,0.820 ,10MU,0.002858,3.489,23.50%,44.84%,0.057,0.05,,,
  5.195 ,T.c.,Leoni Meadows,50.2,528,704,  0.561 ,  0.753 ,0.657 ,1MU,0.000717358,0.677,97.05%,,0.072,0.01,100,,
  5.195 ,T.c.,Leoni Meadows,50.2,528,704,  0.561 ,  0.753 ,0.657 ,25MU,0.01793395,1.638,40.11%,,0.179,0.1,,,
  5.195 ,T.c.,Leoni Meadows,50.2,528,704,  0.561 ,  0.753 ,0.657 ,10MU,0.00717358,0.848,77.48%,,0.072,0.1,,,
  5.195 ,T.c.,Leoni Meadows,50.2,528,704,  0.561 ,  0.753 ,0.657 ,25MU,0.01793395,0.863,76.13%,,0.179,0.1,,,
  5.195 ,T.c.,Leoni Meadows,50.2,528,704,  0.561 ,  0.753 ,0.657 ,100MU,0.0717358,1.313,50.04%,,0.072,1,,,
  5.200 ,T.c.,Leoni Meadows,40.1,464,597,  0.911 ,  0.585 ,0.748 ,1MU,0.000573029,0.611,122.42%,,0.057,0.01,100,,
  5.200 ,T.c.,Leoni Meadows,40.1,464,597,  0.911 ,  0.585 ,0.748 ,25MU,0.014325725,0.996,75.10%,,0.143,0.1,,,
  5.200 ,T.c.,Leoni Meadows,40.1,464,597,  0.911 ,  0.585 ,0.748 ,50MU,0.02865145,0.737,101.49%,,0.029,1,,,
  5.200 ,T.c.,Leoni Meadows,40.1,464,597,  0.911 ,  0.585 ,0.748 ,75MU,0.042977175,1.205,62.07%,,0.043,1,,,
  5.200 ,T.c.,Leoni Meadows,40.1,464,597,  0.911 ,  0.585 ,0.748 ,100MU,0.0573029,1.372,54.52%,,0.057,1,,,
  5.201 ,T.c.,Leoni Meadows,47.7,504,658,  0.710 ,  0.741 ,0.726 ,1MU,0.000681633,0.591,122.76%,,0.068,0.01,96.4,,
  5.201 ,T.c.,Leoni Meadows,47.7,504,658,  0.710 ,  0.741 ,0.726 ,25MU,0.017040825,0.754,96.22%,,0.170,0.1,,,
  5.201 ,T.c.,Leoni Meadows,47.7,504,658,  0.710 ,  0.741 ,0.726 ,50MU,0.03408165,0.621,116.83%,,0.034,1,,,
  5.201 ,T.c.,Leoni Meadows,47.7,504,658,  0.710 ,  0.741 ,0.726 ,75MU,0.051122475,0.766,94.71%,,0.051,1,,,
  5.201 ,T.c.,Leoni Meadows,47.7,504,658,  0.710 ,  0.741 ,0.726 ,100MU,0.0681633,1.716,42.28%,,0.068,1,,,
  5.202 ,T.c.,Dogtown Cr.,25.8,402,529,  0.689 ,  0.688 ,0.689 ,1MU,0.000368682,0.691,99.64%,,0.037,0.01,23.1,,
  5.202 ,T.c.,Dogtown Cr.,25.8,402,529,  0.689 ,  0.688 ,0.689 ,25MU,0.00921705,1.506,45.72%,,0.092,0.1,,,
  5.202 ,T.c.,Dogtown Cr.,25.8,402,529,  0.689 ,  0.688 ,0.689 ,50MU,0.0184341,1.77,38.90%,,0.018,1,,,
  5.202 ,T.c.,Dogtown Cr.,25.8,402,529,  0.689 ,  0.688 ,0.689 ,75MU,0.02765115,1.562,44.08%,,0.028,1,,,
  5.203 ,T.c.,Dogtown Cr.,55.6,522,728,  0.587 ,  0.629 ,0.608 ,1MU,0.000794524,0.606,100.33%,,0.079,0.01,26,,
  5.203 ,T.c.,Dogtown Cr.,55.6,522,728,  0.587 ,  0.629 ,0.608 ,25MU,0.0198631,1.194,50.92%,,0.199,0.1,,,
  5.203 ,T.c.,Dogtown Cr.,55.6,522,728,  0.587 ,  0.629 ,0.608 ,50MU,0.0397262,2.045,29.73%,,0.040,1,,,
  5.203 ,T.c.,Dogtown Cr.,55.6,522,728,  0.587 ,  0.629 ,0.608 ,75MU,0.0595893,1.288,47.20%,,0.060,1,,,
  5.204 ,T.c.,Dogtown Cr.,44.8,474,,  0.636 ,  0.573 ,0.605 ,1MU,0.000640192,0.611,98.94%,,0.064,0.01,31.3,,
  5.204 ,T.c.,Dogtown Cr.,44.8,474,,  0.636 ,  0.573 ,0.605 ,25MU,0.0160048,1.108,54.56%,,0.160,0.1,,,
  5.204 ,T.c.,Dogtown Cr.,44.8,474,,  0.636 ,  0.573 ,0.605 ,50MU,0.0320096,1.642,36.81%,,0.032,1,,,
  5.204 ,T.c.,Dogtown Cr.,44.8,474,,  0.636 ,  0.573 ,0.605 ,75MU,0.0480144,1.661,36.39%,,0.048,1,,,
  5.205 ,T.c.,Dogtown Cr.,33.3,465,649,  0.720 ,  0.686 ,0.703 ,1MU,0.000475857,0.67,104.93%,,0.048,0.01,,,
  5.205 ,T.c.,Dogtown Cr.,33.3,465,649,  0.720 ,  0.686 ,0.703 ,25MU,0.011896425,0.838,83.89%,,0.119,0.1,,,
  5.205 ,T.c.,Dogtown Cr.,33.3,465,649,  0.720 ,  0.686 ,0.703 ,50MU,0.02379285,0.979,71.81%,,0.024,1,,,
  5.205 ,T.c.,Dogtown Cr.,33.3,465,649,  0.720 ,  0.686 ,0.703 ,75MU,0.035689275,1.244,56.51%,,0.036,1,>75,,
  5.206 ,T.c.,Dogtown Cr.,90.8,647,836,  0.572 ,  0.643 ,0.608 ,1MU,0.001297532,0.489,124.23%,,0.130,0.01,,,
  5.206 ,T.c.,Dogtown Cr.,90.8,647,836,  0.572 ,  0.643 ,0.608 ,25MU,0.0324383,0.933,65.11%,,0.324,0.1,51.1,,
  5.206 ,T.c.,Dogtown Cr.,90.8,647,836,  0.572 ,  0.643 ,0.608 ,50MU,0.0648766,1.203,50.50%,,0.065,1,,,
  5.206 ,T.c.,Dogtown Cr.,90.8,647,836,  0.572 ,  0.643 ,0.608 ,75MU,0.0973149,1.431,42.45%,,0.097,1,,,
  5.207 ,T.c.,Dogtown Cr.,15.3,355,487,  0.881 ,  0.825 ,0.853 ,1MU,0.000218637,0.831,102.65%,,0.044,0.005,20,,
  5.207 ,T.c.,Dogtown Cr.,15.3,355,487,  0.881 ,  0.825 ,0.853 ,25MU,0.005465925,2.307,36.97%,,0.055,0.1,,,
  5.207 ,T.c.,Dogtown Cr.,15.3,355,487,  0.881 ,  0.825 ,0.853 ,50MU,0.01093185,4.996,17.07%,,0.109,0.1,,,
  5.207 ,T.c.,Dogtown Cr.,15.3,355,487,  0.881 ,  0.825 ,0.853 ,,,,,,,,,,
  5.248 ,T.c.,Pollock Pines,20.2,406,529,0.542,0.53,0.536 ,10MU,0.00288658,0.635,84.41%,,0.029,0.1,61,,
  5.248 ,T.c.,Pollock Pines,20.2,406,529,0.542,0.53,0.536 ,25MU,0.00721645,1.137,47.14%,,0.072,0.1,,,
  5.248 ,T.c.,Pollock Pines,20.2,406,529,0.542,0.53,0.536 ,50MU,0.0144329,0.888,60.36%,,0.014,1,,,
  5.248 ,T.c.,Pollock Pines,20.2,406,529,0.542,0.53,0.536 ,100MU,0.0288658,4.09,13.11%,,0.029,1,,,
  5.273 ,T.c.,Pollock Pines,34.2,465,624,  0.557 ,  0.583 ,0.570 ,10MU,0.00488718,0.733,77.76%,,0.098,0.05,43.8,,
  5.273 ,T.c.,Pollock Pines,34.2,465,624,  0.557 ,  0.583 ,0.570 ,25MU,0.01221795,0.693,82.25%,,0.122,0.1,,,
  5.273 ,T.c.,Pollock Pines,34.2,465,624,  0.557 ,  0.583 ,0.570 ,50MU,0.0244359,1.452,39.26%,,0.244,0.1,,,
  5.273 ,T.c.,Pollock Pines,34.2,465,624,  0.557 ,  0.583 ,0.570 ,75MU,0.03665385,2.02,28.22%,,0.037,1,,,
5.63,T.c.,"Deep Cr., Fresno Co.",5.7,235,316,,0.847,0.847 ,10MU,0.00081453,0.909,93.18%,0.00001429,0.081,0.01,>100,,
5.63,T.c.,"Deep Cr., Fresno Co.",5.7,235,316,,0.847,0.847 ,50MU,0.00407265,2.008,42.18%,,0.041,0.1,,,
5.63,T.c.,"Deep Cr., Fresno Co.",5.7,235,316,,0.847,0.847 ,100MU,0.0081453,1.317,64.31%,,0.081,0.1,,,
5.64,T.c.,"Deep Cr., Fresno Co.",6.6,242,331,1.061,,1.061 ,10MU,0.00094314,,,,0.094,0.01,>100,,
5.64,T.c.,"Deep Cr., Fresno Co.",6.6,242,331,1.061,,1.061 ,50MU,0.0047157,1.565,67.80%,,0.047,0.1,,,
5.64,T.c.,"Deep Cr., Fresno Co.",6.6,242,331,1.061,,1.061 ,100MU,0.0094314,1.374,77.22%,,0.094,0.1,,,
5.65,T.c.,"Deep Cr., Fresno Co.",19.1,378,502,0.77,,0.770 ,10MU,0.00272939,0.883,87.20%,,0.027,0.1,>100,,
5.65,T.c.,"Deep Cr., Fresno Co.",19.1,378,502,0.77,,0.770 ,50MU,0.01364695,,,,0.136,0.1,,,
5.65,T.c.,"Deep Cr., Fresno Co.",19.1,378,502,0.77,,0.770 ,100MU,0.0272939,1.198,64.27%,,0.027,1,,,
5.66,T.c.,"Deep Cr., Fresno Co.",35.4,422,556,0.857,0.838,0.848 ,10MU,0.00505866,0.797,106.34%,,0.051,0.1,93.5,,
5.66,T.c.,"Deep Cr., Fresno Co.",35.4,422,556,0.857,0.838,0.848 ,50MU,0.0252933,0.712,119.03%,,0.253,0.1,,,
5.66,T.c.,"Deep Cr., Fresno Co.",35.4,422,556,0.857,0.838,0.848 ,100MU,0.0505866,2.001,42.35%,,0.051,1,,,
5.67,T.c.,"Deep Cr., Fresno Co.",46.7,458,,0.815,,0.815 ,10MU,0.00667343,0.834,97.72%,,0.067,0.1,>100,,
5.67,T.c.,"Deep Cr., Fresno Co.",46.7,458,,0.815,,0.815 ,50MU,0.03336715,1.054,77.32%,,0.334,0.1,,,
5.67,T.c.,"Deep Cr., Fresno Co.",46.7,458,,0.815,,0.815 ,100MU,0.0667343,0.789,103.30%,,0.067,1,,,
5.68,T.c.,"Deep Cr., Fresno Co.",5.3,252,339,1.136,,1.136 ,10MU,0.00075737,,,,0.076,0.01,Not usable,,
5.68,T.c.,"Deep Cr., Fresno Co.",5.3,252,339,1.136,,1.136 ,50MU,0.00378685,2.509,45.28%,,0.038,0.1,,,
5.68,T.c.,"Deep Cr., Fresno Co.",5.3,252,339,1.136,,1.136 ,100MU,0.0075737,,,,0.076,0.1,,,
5.69,T.c.,"Deep Cr., Fresno Co.",12.2,327,444,0.748,0.749,0.749 ,10MU,0.00174338,,,,0.174,0.01,>100,,
5.69,T.c.,"Deep Cr., Fresno Co.",12.2,327,444,0.748,0.749,0.749 ,50MU,0.0087169,1.013,73.89%,,0.087,0.1,,,
5.69,T.c.,"Deep Cr., Fresno Co.",12.2,327,444,0.748,0.749,0.749 ,100MU,0.0174338,0.967,77.40%,,0.174,0.1,,,
5.70,T.c.,"Deep Cr., Fresno Co.",5.6,237,319,0.763,1.113,0.938 ,10MU,0.00080024,0.789,118.88%,,0.080,0.01,>100,,
5.70,T.c.,"Deep Cr., Fresno Co.",5.6,237,319,0.763,1.113,0.938 ,50MU,0.0040012,1.065,88.08%,,0.040,0.1,,,
5.70,T.c.,"Deep Cr., Fresno Co.",5.6,237,319,0.763,1.113,0.938 ,100MU,0.0080024,1.427,65.73%,,0.080,0.1,,,
5.71,T.c.,"Deep Cr., Fresno Co.",3.9,193,256,1.422,1.262,1.342 ,10MU,0.00055731,1.075,124.84%,,0.056,0.01,>100,,
5.71,T.c.,"Deep Cr., Fresno Co.",3.9,193,256,1.422,1.262,1.342 ,50MU,0.00278655,1.499,89.53%,,0.028,0.1,,,
5.71,T.c.,"Deep Cr., Fresno Co.",3.9,193,256,1.422,1.262,1.342 ,100MU,0.0055731,1.035,129.66%,,0.056,0.1,,,
5.72,T.c.,"Deep Cr., Fresno Co.",3.9,205,274,,,#DIV/0!,,,1.254,,,,,,,
5.72,T.c.,"Deep Cr., Fresno Co.",3.9,205,274,,,,,,,,,,,,,
5.72,T.c.,"Deep Cr., Fresno Co.",3.9,205,274,,,,,,,,,,,,,
5.73,T.c.,"Deep Cr., Fresno Co.",10.8,330,411,1.142,,1.142 ,10MU,0.00154332,0.885,129.04%,,0.154,0.01,,,
5.73,T.c.,"Deep Cr., Fresno Co.",10.8,330,411,1.142,,1.142 ,50MU,0.0077166,1.76,64.89%,,0.077,0.1,>50,,
5.73,T.c.,"Deep Cr., Fresno Co.",10.8,330,411,1.142,,1.142 ,100MU,0.0154332,,,,0.154,0.1,,,
